City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Loandjili,CG,70.54,overcast clouds,1.6136,16.0517,ABENIE Hotel
429,Timizart,MR,83.19,scattered clouds,20.5022,-10.0711,
437,Malabo,GQ,78.66,thunderstorm,3.75,8.7833,Magno Suites
439,Tabuk,PH,84.74,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
440,Algiers,MR,83.19,scattered clouds,20.5022,-10.0711,
441,Kuche,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
442,Anlu,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
444,Dzhusaly,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
449,Kudahuvadhoo,MV,84.33,overcast clouds,-0.6,73.0833,Scoop Guest House
450,Tabou,CI,78.71,overcast clouds,4.423,-7.3528,hotêl doufoulougou
453,Bara,SS,77.59,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
457,Hede,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
458,Gulshat,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
466,Kiunga,PG,85.71,few clouds,-6.2167,149.55,Kandrian Station
472,Tadine,NC,78.4,broken clouds,-20.2333,164.0167,
476,Nantai,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
477,Gangotri,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
478,Road Town,VG,80.53,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
479,Semporna,MY,87.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
480,Weligama,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
487,Niono,GM,76.59,few clouds,13.35,-15.75,
488,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
493,Kargil,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
494,Bubaque,GW,79.05,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
501,Tongchuan,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
503,Shirgaon,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
513,Botou,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
514,Sambava,MG,74.12,few clouds,-14.2667,50.1667,Melrose
517,Farafangana,MG,74.12,few clouds,-14.2667,50.1667,Melrose
